Concentration,Validity,Verification,AirQualityStationEoICode
33.914455000000004,1.0,3.0,HU0022A
60.15179833333334,1.0,3.0,HU0022A
37.09927666666666,1.0,3.0,HU0022A
51.73980749999999,1.0,3.0,HU0022A
10.750374304347828,1.0,3.0,HU0022A
28.142537916666665,1.0,3.0,HU0022A
58.12517833333334,1.0,3.0,HU0022A
83.21272,1.0,3.0,HU0022A
76.18915500000003,1.0,3.0,HU0022A
73.97909874999999,1.0,3.0,HU0022A
72.11546458333333,1.0,3.0,HU0022A
73.83944625,1.0,3.0,HU0022A
35.438108750000005,1.0,3.0,HU0022A
38.071205,1.0,3.0,HU0022A
47.08619416666667,1.0,3.0,HU0022A
53.48965916666666,1.0,3.0,HU0022A
43.98277583333334,1.0,3.0,HU0022A
52.41701208333333,1.0,3.0,HU0022A
66.65208208333334,1.0,3.0,HU0022A
86.24110708333335,1.0,3.0,HU0022A
35.917147083333326,1.0,3.0,HU0022A
50.537096666666656,1.0,3.0,HU0022A
60.38452375,1.0,3.0,HU0022A
60.52802166666667,1.0,3.0,HU0022A
77.84530130434781,1.0,3.0,HU0022A
73.26416458333334,1.0,3.0,HU0022A
65.35008708333335,1.0,3.0,HU0022A
28.465252499999995,1.0,3.0,HU0022A
17.766328333333334,1.0,3.0,HU0022A
17.7217175,1.0,3.0,HU0022A
23.547495,1.0,3.0,HU0022A
15.033667499999998,1.0,3.0,HU0022A
14.56213941666667,1.0,3.0,HU0022A
9.7464275,1.0,3.0,HU0022A
6.530372,1.0,3.0,HU0022A
12.475795791666664,1.0,3.0,HU0022A
17.521310583333335,1.0,3.0,HU0022A
19.76660791666667,1.0,3.0,HU0022A
21.861576208333332,1.0,3.0,HU0022A
36.496230833333335,1.0,3.0,HU0022A
21.194750541666668,1.0,3.0,HU0022A
9.677724458333332,1.0,3.0,HU0022A
12.335567750000001,1.0,3.0,HU0022A
10.815055625000001,1.0,3.0,HU0022A
22.710779583333334,1.0,3.0,HU0022A
28.41509208333333,1.0,3.0,HU0022A
39.422144166666676,1.0,3.0,HU0022A
46.626952500000016,1.0,3.0,HU0022A
37.125518500000005,1.0,3.0,HU0022A
26.5816025,1.0,3.0,HU0022A
15.916576208333337,1.0,3.0,HU0022A
36.0315385,1.0,3.0,HU0022A
20.598067625,1.0,3.0,HU0022A
16.167783749999995,1.0,3.0,HU0022A
18.834356250000003,1.0,3.0,HU0022A
22.634853541666672,1.0,3.0,HU0022A
49.13679608695654,1.0,3.0,HU0022A
12.503798083333335,1.0,3.0,HU0022A
11.607027227272726,1.0,3.0,HU0022A
15.24937636842105,1.0,3.0,HU0022A
29.28041705263158,1.0,3.0,HU0022A
15.636352500000001,1.0,3.0,HU0022A
20.613486249999994,1.0,3.0,HU0022A
14.152379249999996,1.0,3.0,HU0022A
32.075562500000004,1.0,3.0,HU0022A
25.27508958333333,1.0,3.0,HU0022A
24.386884999999996,1.0,3.0,HU0022A
17.422958874999996,1.0,3.0,HU0022A
47.92701826086957,1.0,3.0,HU0022A
44.488147083333324,1.0,3.0,HU0022A
27.41164826086958,1.0,3.0,HU0022A
18.931994791666668,1.0,3.0,HU0022A
36.572395875,1.0,3.0,HU0022A
19.870490333333336,1.0,3.0,HU0022A
